,Date / Time,City,State,Shape
155,3/13/97 20:30,Phoenix,AZ,Triangle
156,3/13/97 20:30,Tempe,AZ,Light
157,3/13/97 20:30,Tempe,AZ,Formation
158,3/13/97 20:25,Buckeye,AZ,Sphere
159,3/13/97 20:20,Northwest Tempe,AZ,Formation
160,3/13/97 20:20,Phoenix,AZ,Triangle
161,3/13/97 20:16,Diamond Valley (Prescott Valley),AZ,Triangle
162,3/13/97 20:15,Phoenix (Tempe),AZ,Light
163,3/13/97 20:15,Phoenix (Ahwatukee),AZ,Triangle
164,3/13/97 20:15,Scottsdale,AZ,Triangle
165,3/13/97 20:15,Prescott,AZ,Formation
166,3/13/97 20:15,Black Canyon City (5 miles N of),AZ,Chevron
167,3/13/97 20:15,Phoenix,AZ,Light
168,3/13/97 20:15,Prescott,AZ,Formation
169,3/13/97 20:12,Prescott,AZ,Formation
170,3/13/97 20:10,Tempe,AZ,Other
171,3/13/97 20:00,Phoenix,AZ,Chevron
172,3/13/97 20:00,Phoenix,AZ,Other
173,3/13/97 20:00,Phoenix,AZ,Circle
174,3/13/97 20:00,Glendale,AZ,Diamond
175,3/13/97 20:00,Phoenix,AZ,Triangle
176,3/13/97 20:00,Kingman,AZ,Formation
177,3/13/97 20:00,Scottsdale,AZ,Light
178,3/13/97 20:00,East Mesa /Apache Junction.,AZ,Light
179,3/13/97 20:00,Phoenix,AZ,Chevron
180,3/13/97 20:00,Phoenix,AZ,Triangle
181,3/13/97 20:00,Phoenix,AZ,Triangle
182,3/13/97 19:45,Stanfield,AZ,Triangle
183,3/13/97 19:45,"Gila Bend (20 miles east of, on I-8)",AZ,Light
184,3/13/97 19:00,Scottsdale,AZ,Triangle
185,3/13/97 19:00,Phoenix,AZ,Triangle
186,3/13/97 18:40,Phoenix,AZ,Chevron
187,3/13/97 18:30,New Braunfels,TX,Triangle
188,3/13/97 18:00,Prescott,AZ,Formation
189,3/13/97 17:00,Lubbock,TX,Triangle
190,3/13/97 13:30,Seattle,WA,Sphere
191,3/13/97 10:30,Newfoundland,NJ,Oval
192,3/13/97 08:00,Casa Grande (Indians Hills),AZ,Circle
193,3/13/97 05:30,Salt Lake City,UT,Other
194,3/13/97,Phoenix,AZ,Other
195,3/13/97,Douglas,AZ,Triangle
196,3/12/97 23:00,Santa Fe,NM,Other
197,3/12/97 23:00,Brentwood,CA,Formation
198,3/12/97 22:20,Death Valley,NV,Triangle
199,3/12/97 21:50,Glendale (SSW of),AZ,Light
200,3/12/97 20:40,Las Vegas,NV,Chevron
201,3/12/97 20:30,Terre Haute,IN,Triangle
202,3/12/97 20:09,Norfolk,VA,Chevron
203,3/12/97 09:00,New Orleans,LA,Other
204,3/12/97 08:00,Phoenix (west towards),AZ,Light
205,3/11/97 18:30,Charleston,WV,Sphere
206,3/10/97 22:00,Las Vegas (north of),NV,Light
207,3/10/97 19:30,New York City (Manhattan),NY,Light
208,3/10/97 12:30,Virginia Beach,VA,Sphere
209,3/10/97 10:30,Alpharetta,GA,Triangle
210,3/9/97 01:00,Arizona (desert; on route 66),AZ,Triangle
211,3/8/97 19:00,East Detroit (eastpoint0,MI,Disk
212,3/7/97 22:50,Seattle,WA,Flash
213,3/7/97 22:00,Monrovia,CA,Disk
214,3/7/97 19:45,I-40 (rural Arizona),AZ,Triangle
215,3/7/97 19:00,Tacoma,WA,Disk
216,3/6/97 22:00,Virginia Beach,VA,Light
217,3/6/97 01:00,Rohnert Park (Sonoma State University),CA,Sphere
218,3/5/97 18:10,San Francisco,CA,Oval
219,3/5/97 14:00,Phoenix,AZ,Chevron
220,3/3/97 18:30,Sullivan (near),MO,Light
221,3/3/97 02:00,Dublin,OH,Triangle
222,3/2/97 21:00,Hemet,CA,Triangle
223,3/1/97 21:20,Louisville,KY,Fireball
224,3/1/97 12:30,Commerce City,CO,Sphere
225,3/1/97 05:00,Clinton,UT,Circle
226,4/30/97 23:30,Westboro/Marlboro,MA,Other
227,4/30/97 23:00,Columbia,MO,Light
228,4/30/97 21:00,Twelve Mile,IN,Disk
229,4/29/97 17:00,Fresh Pond,CA,Formation
230,4/28/97 00:25,Williamston,SC,Triangle
231,4/27/97 01:00,San-Carlos mountains,AZ,Light
232,4/25/97 01:45,Delray Beach,FL,Light
233,4/25/97,New York City (Brooklyn),NY,Other
234,4/24/97 21:45,New Brighton,MN,Triangle
235,4/24/97 21:30,Coos Bay,OR,Sphere
236,4/24/97 01:00,Clarion,PA,Light
237,4/23/97 19:30,Houston,TX,Triangle
238,4/23/97 18:00,Guntersville,AL,Oval
239,4/22/97 01:00,Spokane,WA,Light
240,4/20/97 23:00,Las Vegas,NV,Light
241,4/20/97 19:00,Billings,MT,Light
242,4/20/97 04:28,Greentown,IN,Formation
243,4/20/97 02:00,Carlinville,IL,Other
244,4/19/97 22:00,Suisun (North S.F. Bay Area),CA,Circle
245,4/19/97 01:30,Reno (north of),NV,Other
246,4/18/97 23:59,Tampa,FL,Triangle
247,4/18/97 20:40,Cleveland/Euclid,OH,Triangle
248,4/18/97 07:05,Dallas,TX,Diamond
249,4/17/97 22:45,Lake DeGray,AR,Fireball
250,4/17/97 22:45,Bismarck/Caddo Valley (between),AR,Light
251,4/17/97 20:23,West Memphis,AR,Light
252,4/15/97 22:30,Harrisburg (area),PA,Formation
253,4/15/97 22:30,Bakersfield,CA,Light
254,4/15/97 22:00,Lincoln,NE,Sphere
255,4/15/97 10:00,Hawthorne,CA,Light
256,4/15/97 02:30,Plainwell,MI,Diamond
257,4/15/97 02:30,Fort Pierce,FL,Fireball
258,4/15/97 01:30,Fullerton,CA,Changing
259,4/15/97 01:00,White Mountains,AZ,Other
260,4/14/97 18:00,Big Bear City,CA,Oval
261,4/14/97 02:15,Edison,NJ,Triangle
262,4/13/97 19:07,San Diego,CA,Light
263,4/12/97 23:15,Monrovia,CA,Formation
264,4/11/97 21:15,Houma,LA,Circle
265,4/10/97 23:00,Lubbock,TX,Triangle
266,4/10/97 01:30,Tompson,GA,Light
267,4/10/97 00:30,Little Rock (east of),AR,Disk
268,4/8/97 20:00,Las Vegas,NV,Rectangle
269,4/8/97 19:45,Sonoma,CA,Chevron
270,4/7/97 17:00,Austin,TX,Triangle
271,4/7/97 14:00,Milwaukee,WI,Other
272,4/7/97 05:30,Colorado Springs,CO,Cylinder
273,4/5/97 19:50,Randle (near),WA,Light
274,4/5/97 14:00,Fairhope,AL,Circle
275,4/5/97 14:00,Fairhope,AL,Other
276,4/5/97 01:00,Palm Springs (Moreno Valley),CA,Oval
277,4/4/97 02:15,Atlanta,GA,Sphere
278,4/3/97 21:00,Phoenix (far west),AZ,Oval
279,4/3/97 21:00,Kosciusko,MS,Light
280,4/3/97 01:35,Port Wentworth,GA,Other
281,4/2/97 20:15,Lebanon,MO,Sphere
282,4/1/97 22:00,Sedona,AZ,Sphere
283,4/1/97 18:30,Monument Valley,UT,Light
284,4/1/97 10:00,Round Rock,TX,Triangle
285,4/1/97 04:00,Houston,TX,Other
286,4/1/97 01:00,Foster,VA,Cigar
287,4/1/97 00:00,Gardena,CA,Other
288,5/30/97 20:00,Pooler,GA,Fireball
289,5/30/97 11:45,Dallas,GA,Sphere
290,5/29/97 11:59,Aston,PA,Oval
291,5/28/97 22:00,Central New York,NY,Light
292,5/27/97 23:30,Wichita,KS,Light
293,5/27/97 23:00,Huntington,UT,Light
294,5/27/97 15:30,Arlington,VA,Disk
295,5/27/97 00:00,Winnsboro,LA,Other
296,5/26/97 16:50,Pompton Lakes,NJ,Disk
297,5/25/97 22:00,Saxton,PA,Formation
298,5/25/97 22:00,Syracuse,NY,Triangle
299,5/25/97 19:30,Austin,TX,Disk
300,5/25/97 01:10,Skies over Sierra Nevada,CA,Light
301,5/24/97 22:15,North Tonawanda,NY,Triangle
302,5/24/97 20:00,Lake Tahoe (near),CA,Formation
303,5/23/97 04:00,Arcadia (outskirts of),FL,Light
304,5/22/97 22:21,Chatham,NJ,Disk
305,5/22/97 21:25,Simi Valley,CA,Formation
306,5/21/97 06:00,Phoenix,AZ,Other
307,5/21/97 04:00,Wolf Point,MT,Fireball
308,5/20/97 04:01,Jupiter,FL,Other
309,5/20/97 01:00,Louisville,KY,Circle
310,5/20/97,Los Angeles,CA,Oval
311,5/19/97 00:20,Kalamazoo,MI,Changing
312,5/18/97 21:00,Jackson,MI,Light
313,5/17/97 14:00,Portland,OR,Oval
314,5/17/97 03:30,Las Vegas (about 60 miles outside of),NV,Triangle
315,5/16/97 23:00,Oklahoma City,OK,Triangle
316,5/15/97 22:45,Bouse,AZ,Triangle
317,5/15/97 22:30,South Bend,IN,Triangle
318,5/15/97 21:00,Asheville,NC,Other
319,5/15/97 21:00,Great River,NY,Oval
320,5/15/97 20:00,Waco,TX,Light
321,5/15/97 18:30,Sorrento,FL,Cigar
322,5/15/97 16:53,Palm Beach Gardens,FL,Formation
323,5/15/97 10:00,Mesquite,TX,Circle
324,5/15/97 10:00,College Station,TX,Light
325,5/15/97 02:00,Londonderry,NH,Light
326,5/15/97 00:00,San Diego,CA,Disk
327,5/13/97 21:00,Petaluma,CA,Triangle
328,5/13/97 03:00,Edinboro,PA,Oval
329,5/12/97 23:30,Death Valley Gas Station,CA,Oval
330,5/11/97 23:43,Wright City,MO,Fireball
331,5/11/97 23:00,Greenwich,CT,Triangle
332,5/11/97 13:56,College,UT,Cigar
333,5/11/97 12:00,Porter,TX,Other
334,5/10/97 23:59,Winthrop,WA,Other
335,5/10/97 23:00,Azle,TX,Circle
336,5/10/97 22:45,Los Padres National Forest (Ventura Co.),CA,Other
337,5/10/97 21:00,Southside (Gadsden),AL,Other
338,5/10/97 00:00,Austin,TX,Flash
339,5/9/97 21:00,Las Vegas,NV,Light
340,5/8/97 05:15,Citrus Heights (a suburb of Sacramento),CA,Other
341,5/8/97 01:30,Sylmar,CA,Other
342,5/7/97 20:00,Corapeake,NC,Flash
343,5/7/97 01:00,Santa Monica,CA,Disk
344,5/6/97 17:25,Seattle,WA,Disk
345,5/5/97 20:30,Round Rock/Georgetown,TX,Rectangle
346,5/5/97 19:00,Bee Caves,TX,Other
347,5/5/97 01:00,Norton,KS,Triangle
348,5/4/97 22:20,Newport Beach,CA,Triangle
349,5/3/97 23:30,Freeport,IL,Triangle
350,5/3/97 21:03,Stafford,TX,Other
351,5/3/97 21:00,Freeport,IL,Triangle
352,5/2/97 22:05,Oceanside,CA,Other
353,5/2/97 22:00,Oceanside,CA,Other
354,5/1/97 14:00,Maysville,KY,Disk
355,5/1/97 22:00,Cedar Rapids,IA,Triangle
356,5/1/97 22:00,State College,PA,Flash
357,5/1/97 22:00,St. Petersburg,FL,Triangle
358,6/30/97 23:00,Tijeras,NM,Cigar
359,6/30/97 21:00,Casa Grande,AZ,Triangle
360,6/30/97 21:00,Fort Smith,AR,Light
361,6/30/97 12:00,Salisbury,NC,Light
362,6/30/97 12:00,Anchorage,AK,Cylinder
363,6/30/97 06:00,Camarillo,CA,Circle
364,6/30/97 05:45,Venice,FL,Cigar
365,6/30/97 01:00,Bigfork,MT,Triangle
366,6/29/97 22:09,Cave Creek,AZ,Triangle
367,6/28/97 18:00,Springfield,OH,Disk
368,6/28/97 12:00,Wilcox,AZ,Cylinder
369,6/28/97 08:00,Harvey's Lake,PA,Other
370,6/27/97 20:30,Fountain Hills,AZ,Other
371,6/27/97 20:00,North Babylon (Long Island),NY,Triangle
372,6/27/97 00:50,Gresham,OR,Triangle
373,6/26/97 23:05,Wendover (approx. 20 miles E of Nv. I-80),UT,Disk
374,6/25/97 09:11,Phoenix,AZ,Chevron
375,6/23/97 09:30,Eunice,LA,Light
376,6/23/97 02:00,Howell,NJ,Sphere
377,6/23/97 01:00,Willow Creek Campground,CA,Other
378,6/22/97 06:30,Huffman/Atascacita area,TX,Other
379,6/21/97 23:30,Fort Collins,CO,Disk
380,6/21/97 17:00,Edgemere (on Lake Superior shoreline),MI,Other
381,6/21/97 11:28,Ticonderoga,NY,Triangle
382,6/21/97 00:00,Libertyville,IL,Disk
383,6/20/97 23:00,Collierville,TN,Oval
384,6/20/97 21:00,Holland Patent,NY,Circle
385,6/20/97 21:00,Little Marsh,PA,Triangle
386,6/20/97 01:45,Black Horse pike,NJ,Disk
387,6/20/97 01:00,Ocala,FL,Light
388,6/20/97 00:35,"Sunnyside (Granger, on Hwy 82)",WA,Light
389,6/19/97 20:30,Cottonwood,AZ,Disk
390,6/19/97 20:15,Englewood Cliffs,NJ,Light
391,6/18/97 22:00,New Albany,IN,Cigar
392,6/18/97 20:00,Carsonville,MI,Disk
393,6/17/97 21:30,Prescott,AZ,Fireball
394,6/17/97 12:00,Pico Rivera,CA,Chevron
395,6/17/97 04:55,Roswell,NM,Circle
396,6/17/97 01:30,Petaluma,CA,Light
397,6/16/97 22:46,Murphy,OR,Other
398,6/15/97 23:50,Virginia,VA,Disk
399,6/15/97 23:00,Mena,AR,Other
400,6/15/97 23:00,Unknown Lake,IL,Triangle
401,6/15/97 23:00,Sun City/Menifee,CA,Fireball
402,6/15/97 22:15,Irvine,CA,Changing
403,6/15/97 22:00,Eagle Butte,SD,Light
404,6/15/97 22:00,Fort Myers,FL,Sphere
405,6/15/97 22:00,Olive Hill,KY,Light
406,6/15/97 22:00,Lawton (outside) (Bankson Lake),MI,Sphere
407,6/15/97 22:00,Ponte Vedra,FL,Fireball
408,6/15/97 21:30,Westport,CT,Other
409,6/15/97 21:00,Medford,NY,Sphere
410,6/15/97 21:00,Seattle,WA,Triangle
411,6/15/97 20:27,Swanville,ME,Light
412,6/15/97 20:00,Ecorse,MI,Disk
413,6/15/97 20:00,Elon College,NC,Other
414,6/15/97 18:00,Akron,OH,Disk
415,6/15/97 18:00,Columbus,OH,Triangle
416,6/15/97 18:00,Borrego Springs,CA,Circle
417,6/15/97 17:30,Salt Lake City,UT,Other
418,6/15/97 16:40,Marlboro,MD,Circle
419,6/15/97 16:00,McGregor,TX,Sphere
420,6/15/97 16:00,Eden Prairie,MN,Circle
421,6/15/97 15:00,Jackson,MI,Sphere
422,6/15/97 14:00,Edmond,OK,Disk
423,6/15/97 13:30,Gaffney,SC,Cylinder
424,6/15/97 13:00,Colorado Springs,CA,Disk
425,6/15/97 09:00,"Oak Brook Terrace, Dorathy Drennon Park in",IL,Disk
426,6/15/97 03:00,Las Cruces,NM,Fireball
427,6/15/97 01:00,Orlando,FL,Disk
